Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,Total Distance
387,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,37,1981,4,88,125,70.4,2459
388,Ryan Sessegnon\Ryan-Sessegnon,eng ENG,DF,Tottenham,19,2000,3.8,145,195,74.4,2401
389,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3,44,103,42.7,2365
390,Lys Mousset\Lys-Mousset,fr FRA,FW,Sheffield Utd,23,1996,13.8,176,239,73.6,2351
391,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,DF,Manchester Utd,21,1997,2.1,127,141,90.1,2333
392,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,10.2,186,275,67.6,2272
393,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,24,1995,7.3,142,196,72.4,2271
394,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,28,1990,6.1,117,174,67.2,2264
395,Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,4.3,138,167,82.6,2260
396,Neco Williams\Neco-Williams,wal WAL,DF,Liverpool,18,2001,1.6,114,140,81.4,2243
397,Billy Sharp\Billy-Sharp,eng ENG,FW,Sheffield Utd,33,1986,10.9,154,210,73.3,2230
398,Max Meyer\Max-Meyer,de GER,MFFW,Crystal Palace,23,1995,7.3,160,213,75.1,2199
399,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,6.8,133,206,64.6,2195
400,Ashley Barnes\Ashley-Barnes,at AUT,FW,Burnley,29,1989,15,155,253,61.3,2120
401,Ezequiel Schelotto\Ezequiel-Schelotto,it ITA,DF,Brighton,30,1989,4,121,169,71.6,2075
402,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,115,159,72.3,2054
403,Luke Thomas\Luke-Thomas,eng ENG,DF,Leicester City,,,2,118,140,84.3,2015
404,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,32,1986,2.6,102,127,80.3,1959
405,Jesús Vallejo\Jesus-Vallejo,es ESP,DF,Wolves,22,1997,1.8,81,104,77.9,1815
406,Curtis Jones\Curtis-Jones,eng ENG,MF,Liverpool,18,2001,1.3,105,121,86.8,1785
407,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,117,155,75.5,1785
408,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,23,1996,2.2,111,125,88.8,1769
409,Mbwana Samatta\Mbwana-Samatta,tz TAN,FW,Aston Villa,26,1992,9.7,119,162,73.5,1768
410,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,25,1993,1.3,81,91,89,1746
411,Cédric Soares\Cedric-Soares,pt POR,DF,Arsenal,27,1991,2.8,94,133,70.7,1744
412,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,22,1997,4.9,107,159,67.3,1737
413,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,7.2,125,164,76.2,1674
414,Glenn Murray\Glenn-Murray,eng ENG,FW,Brighton,35,1983,8.8,116,177,65.5,1654
